"name","taxon","phylum","source"
"Providencia rustigianii DSM 4541","500637","Proteobacteria","HMP_2018"
"Helicobacter pylori HP250BSi","1159075","Proteobacteria","HMP_2018"
"Helicobacter pullorum MIT 98-5489","537972","Proteobacteria","HMP_2018"
"Helicobacter pylori GAM244Ai","1159035","Proteobacteria","HMP_2018"
"Escherichia sp. 3_2_53FAA","562","Proteobacteria","HMP_2018"
"Clostridium sporogenes ATCC 15579","471871","Firmicutes","HMP_2018"
"Lactobacillus reuteri MM2-3","585517","Firmicutes","HMP_2018"
"Marvinbryantia formatexigens DSM 14469","478749","Firmicutes","HMP_2018"
"Bacteroides clarus YIT 12056","762984","Bacteroidetes","HMP_2018"
"Bacteroides sp. D1","556258","Bacteroidetes","HMP_2018"
"Yokenella regensburgei ATCC 43003","1002368","Proteobacteria","HMP_2018"
"Mitsuokella multacida DSM 20544","500635","Firmicutes","HMP_2018"
"Helicobacter pylori GAM114Ai","1159024","Proteobacteria","HMP_2018"
"butyrate-producing bacterium SSC/2","649756","Firmicutes","HMP_2018"
"Collinsella aerofaciens ATCC 25986","411903","Actinobacteria","HMP_2018"
"Dysgonomonas gadei ATCC BAA-286","742766","Bacteroidetes","HMP_2018"
"Helicobacter pylori GAM100Ai","1159019","Proteobacteria","HMP_2018"
"Helicobacter pylori GAMchJs124i","1159062","Proteobacteria","HMP_2018"
"Lachnospiraceae bacterium 2_1_58FAA","658082","Firmicutes","HMP_2018"
"Faecalibacterium prausnitzii A2-165","411483","Firmicutes","HMP_2018"
"Enterococcus faecalis TX1346","749516","Firmicutes","HMP_2018"
"Collinsella stercoris DSM 13279","445975","Actinobacteria","HMP_2018"
"Helicobacter pylori GAM101Biv","1159020","Proteobacteria","HMP_2018"
"Coprococcus sp. ART55/1","751585","Firmicutes","HMP_2018"
"Fusobacterium nucleatum subsp. animalis 7_1","457405","Fusobacteria","HMP_2018"
"Helicobacter pylori GAM250T","1159040","Proteobacteria","HMP_2018"
"Bacteroides sp. 2_1_22","469588","Bacteroidetes","HMP_2018"
"Campylobacter sp. 10_1_50","665939","Proteobacteria","HMP_2018"
"Faecalibacterium cf. prausnitzii KLE1255","748224","Firmicutes","HMP_2018"
"Clostridium spiroforme DSM 1552","428126","Firmicutes","HMP_2018"
"Helicobacter pylori GAMchJs117Ai","1159061","Proteobacteria","HMP_2018"
"Coprobacillus sp. D6","100884","Firmicutes","HMP_2018"
"Helicobacter pylori GAM250AFi","1159039","Proteobacteria","HMP_2018"
"Lachnospiraceae bacterium 7_1_58FAA","658087","Firmicutes","HMP_2018"
"Bifidobacterium longum subsp. longum JCM 1217","565042","Actinobacteria","HMP_2018"
"Parabacteroides sp. D13","563193","Bacteroidetes","HMP_2018"
"Helicobacter pylori GAM121Aii","1159030","Proteobacteria","HMP_2018"
"Fusobacterium varium ATCC 27725","469618","Fusobacteria","HMP_2018"
"Subdoligranulum sp. 4_3_54A2FAA","665956","Firmicutes","HMP_2018"
"Helicobacter pylori GAMchJs106B","1159059","Proteobacteria","HMP_2018"
"Paenibacillus sp. HGH0039","1078505","Firmicutes","HMP_2018"
"Bacteroides coprocola DSM 17136","470145","Bacteroidetes","HMP_2018"
"Enterococcus faecalis TX2134","749518","Firmicutes","HMP_2018"
"Lachnospiraceae bacterium 3_1_57FAA_CT1","658086","Firmicutes","HMP_2018"
"Helicobacter pylori GAM118Bi","1159027","Proteobacteria","HMP_2018"
"Escherichia coli MS 116-1","749538","Proteobacteria","HMP_2018"
"Helicobacter pylori GAM83T","1159056","Proteobacteria","HMP_2018"
"Clostridium sp. 7_2_43FAA","457396","Firmicutes","HMP_2018"
"Bacteroides sp. 2_1_33B","469589","Bacteroidetes","HMP_2018"
"Prevotella copri DSM 18205","537011","Bacteroidetes","HMP_2018"
"Coprobacillus sp. 8_2_54BFAA","469597","Firmicutes","HMP_2018"
"Megamonas hypermegale ART12/1","657316","Firmicutes","HMP_2018"
"Tannerella sp. 6_1_58FAA_CT1","665949","Bacteroidetes","HMP_2018"
"Lachnospiraceae bacterium 1_4_56FAA","658655","Firmicutes","HMP_2018"
